from, to, price
A1C5S7, A1C5S7, 2.205
A1C5S7, B3H4R2, 2.205
A1C5S7, C1A4P3, 2.157
A1C5S7, E2L4L5, 2.157
A1C5S7, H9W6C3, 2.205
A1C5S7, M6J1H7, 2.205
A1C5S7, R3T2N2, 2.205
A1C5S7, S7N5E8, 2.205
A1C5S7, T6G2R3, 2.205
A1C5S7, V6T1Z4, 2.205
A1C5S7, X0E0T0, 3.351
A1C5S7, Y1A5K4, 2.164
B3H4R2, A1C5S7, 2.205
B3H4R2, B3H4R2, 2.157
B3H4R2, C1A4P3, 2.157
B3H4R2, E2L4L5, 2.157
B3H4R2, H9W6C3, 2.157
B3H4R2, M6J1H7, 2.157
B3H4R2, R3T2N2, 1.873
B3H4R2, S7N5E8, 1.873
B3H4R2, T6G2R3, 2.157
B3H4R2, V6T1Z4, 2.157
B3H4R2, X0E0T0, 3.351
B3H4R2, Y1A5K4, 2.164
C1A4P3, A1C5S7, 2.157
C1A4P3, B3H4R2, 2.157
C1A4P3, C1A4P3, 2.157
C1A4P3, E2L4L5, 2.157
C1A4P3, H9W6C3, 2.157
C1A4P3, M6J1H7, 2.157
C1A4P3, R3T2N2, 2.157
C1A4P3, S7N5E8, 2.157
C1A4P3, T6G2R3, 2.157
C1A4P3, V6T1Z4, 2.157
C1A4P3, X0E0T0, 3.351
C1A4P3, Y1A5K4, 2.164
E2L4L5, A1C5S7, 2.157
E2L4L5, B3H4R2, 2.157
E2L4L5, C1A4P3, 2.157
E2L4L5, E2L4L5, 2.157
E2L4L5, H9W6C3, 2.157
E2L4L5, M6J1H7, 2.157
E2L4L5, R3T2N2, 2.157
E2L4L5, S7N5E8, 2.157
E2L4L5, T6G2R3, 2.157
E2L4L5, V6T1Z4, 2.157
E2L4L5, X0E0T0, 3.351
E2L4L5, Y1A5K4, 2.164
H9W6C3, A1C5S7, 2.205
H9W6C3, B3H4R2, 2.157
H9W6C3, C1A4P3, 2.157
H9W6C3, E2L4L5, 2.157
H9W6C3, H9W6C3, 1.868
H9W6C3, M6J1H7, 1.837
H9W6C3, R3T2N2, 1.873
H9W6C3, S7N5E8, 1.873
H9W6C3, T6G2R3, 1.773
H9W6C3, V6T1Z4, 1.723
H9W6C3, X0E0T0, 3.351
H9W6C3, Y1A5K4, 2.164
M6J1H7, A1C5S7, 2.205
M6J1H7, B3H4R2, 2.157
M6J1H7, C1A4P3, 2.157
M6J1H7, E2L4L5, 2.157
M6J1H7, H9W6C3, 1.837
M6J1H7, M6J1H7, 1.837
M6J1H7, R3T2N2, 1.873
M6J1H7, S7N5E8, 1.873
M6J1H7, T6G2R3, 1.773
M6J1H7, V6T1Z4, 1.723
M6J1H7, X0E0T0, 3.351
M6J1H7, Y1A5K4, 2.164
R3T2N2, A1C5S7, 2.205
R3T2N2, B3H4R2, 1.873
R3T2N2, C1A4P3, 2.157
R3T2N2, E2L4L5, 2.157
R3T2N2, H9W6C3, 1.873
R3T2N2, M6J1H7, 1.873
R3T2N2, R3T2N2, 1.873
R3T2N2, S7N5E8, 1.873
R3T2N2, T6G2R3, 1.873
R3T2N2, V6T1Z4, 1.873
R3T2N2, X0E0T0, 3.351
R3T2N2, Y1A5K4, 2.164
S7N5E8, A1C5S7, 2.205
S7N5E8, B3H4R2, 1.873
S7N5E8, C1A4P3, 2.157
S7N5E8, E2L4L5, 2.157
S7N5E8, H9W6C3, 1.873
S7N5E8, M6J1H7, 1.873
S7N5E8, R3T2N2, 1.873
S7N5E8, S7N5E8, 1.873
S7N5E8, T6G2R3, 1.873
S7N5E8, V6T1Z4, 1.873
S7N5E8, X0E0T0, 3.351
S7N5E8, Y1A5K4, 2.164
T6G2R3, A1C5S7, 2.205
T6G2R3, B3H4R2, 2.157
T6G2R3, C1A4P3, 2.157
T6G2R3, E2L4L5, 2.157
T6G2R3, H9W6C3, 1.773
T6G2R3, M6J1H7, 1.773
T6G2R3, R3T2N2, 1.873
T6G2R3, S7N5E8, 1.873
T6G2R3, T6G2R3, 1.773
T6G2R3, V6T1Z4, 1.773
T6G2R3, X0E0T0, 3.351
T6G2R3, Y1A5K4, 2.164
V6T1Z4, A1C5S7, 2.205
V6T1Z4, B3H4R2, 2.157
V6T1Z4, C1A4P3, 2.157
V6T1Z4, E2L4L5, 2.157
V6T1Z4, H9W6C3, 1.723
V6T1Z4, M6J1H7, 1.723
V6T1Z4, R3T2N2, 1.873
V6T1Z4, S7N5E8, 1.873
V6T1Z4, T6G2R3, 1.773
V6T1Z4, V6T1Z4, 1.723
V6T1Z4, X0E0T0, 3.351
V6T1Z4, Y1A5K4, 2.164
X0E0T0, A1C5S7, 3.351
X0E0T0, B3H4R2, 3.351
X0E0T0, C1A4P3, 3.351
X0E0T0, E2L4L5, 3.351
X0E0T0, H9W6C3, 3.351
X0E0T0, M6J1H7, 3.351
X0E0T0, R3T2N2, 3.351
X0E0T0, S7N5E8, 3.351
X0E0T0, T6G2R3, 3.351
X0E0T0, V6T1Z4, 3.351
X0E0T0, X0E0T0, 3.351
X0E0T0, Y1A5K4, 2.164
Y1A5K4, A1C5S7, 2.164
Y1A5K4, B3H4R2, 2.164
Y1A5K4, C1A4P3, 2.164
Y1A5K4, E2L4L5, 2.164
Y1A5K4, H9W6C3, 2.164
Y1A5K4, M6J1H7, 2.164
Y1A5K4, R3T2N2, 2.164
Y1A5K4, S7N5E8, 2.164
Y1A5K4, T6G2R3, 2.164
Y1A5K4, V6T1Z4, 2.164
Y1A5K4, X0E0T0, 2.164
Y1A5K4, Y1A5K4, 2.164
